FoodItemID,RestaurantID,FoodName,Category,Price,PreparationTime,Calories,Availability
1,1,Biryani,Main Course,220.0,16.0,519.0,Yes
2,1,Cheese Pizza,Fast Food,123.0,13.0,215.0,Yes
3,1,Veg Sandwich,Fast Food,40.0,28.0,440.0,Yes
4,1,Butter Naan,Breads,227.0,16.0,683.0,No
5,1,Garlic Naan,Breads,338.0,17.0,395.0,Yes
6,1,Biryani,Main Course,160.0,9.0,338.0,Yes
7,1,Momos,Starters,151.0,3.0,58.0,No
8,1,Kulcha,Breads,174.0,24.0,284.0,Yes
9,2,Fresh Lime Soda,Beverages,337.0,15.0,272.0,No
10,2,Kulcha,Breads,51.0,18.0,98.0,Yes
11,2,Chole Bhature,Main Course,112.0,18.0,190.0,Yes
12,2,Butter Chicken,Main Course,132.0,18.0,217.0,Yes
13,2,Masala Chai,Beverages,238.0,25.0,248.0,Yes
14,2,Paneer Tikka,Starters,161.0,17.0,452.0,Yes
15,2,Rasmalai,Desserts,153.0,12.0,241.0,Yes
16,2,Tandoori Roti,Breads,255.0,13.0,283.0,Yes
17,3,Spring Rolls,Starters,274.0,19.0,246.0,Yes
18,3,Kulcha,Breads,162.0,10.0,222.0,Yes
19,3,Brownie,Desserts,130.0,16.0,307.0,No
20,3,Fish Fingers,Starters,228.0,23.0,293.0,Yes
21,3,Spring Rolls,Starters,164.0,14.0,251.0,No
22,3,Mojito,Beverages,194.0,3.0,256.0,Yes
23,3,Butter Naan,Breads,75.0,10.0,237.0,Yes
24,4,Chole Bhature,Main Course,40.0,15.0,,Yes
25,4,Kheer,Desserts,179.0,19.0,,Yes
26,4,Lassi,Beverages,107.0,18.0,360.0,Yes
27,4,Veg Sandwich,Fast Food,170.0,14.0,279.0,Yes
28,4,Biryani,Main Course,157.0,14.0,444.0,Yes
29,4,Cold Coffee,Beverages,265.0,10.0,319.0,No
30,4,Ice Cream,Desserts,388.0,3.0,158.0,Yes
31,5,Chicken Burger,Fast Food,274.0,33.0,617.0,Yes
32,5,Brownie,Desserts,208.0,14.0,358.0,Yes
33,5,Brownie,Desserts,216.0,25.0,480.0,Yes
34,5,Kheer,Desserts,40.0,8.0,441.0,Yes
35,5,Rasmalai,Desserts,55.0,3.0,531.0,Yes
36,5,Mojito,Beverages,203.0,30.0,545.0,No
37,6,Veg Sandwich,Fast Food,123.0,19.0,281.0,Yes
38,6,Cold Coffee,Beverages,40.0,27.0,370.0,Yes
39,6,Momos,Starters,301.0,18.0,441.0,Yes
40,6,Veg Manchurian,Starters,231.0,16.0,364.0,No
41,6,Butter Chicken,Main Course,201.0,27.0,475.0,Yes
42,6,Chicken Burger,Fast Food,181.0,14.0,382.0,Yes
43,6,Dal Makhani,Main Course,102.0,10.0,364.0,Yes
44,7,Fresh Lime Soda,Beverages,180.0,23.0,230.0,Yes
45,7,Rasmalai,Desserts,180.0,21.0,252.0,Yes
46,7,Fried Rice,Main Course,138.0,24.0,391.0,Yes
47,7,Butter Chicken,Main Course,40.0,24.0,413.0,Yes
48,7,Veg Sandwich,Fast Food,40.0,10.0,381.0,Yes
49,7,Cheese Pizza,Fast Food,208.0,26.0,264.0,Yes
50,7,Fish Fingers,Starters,139.0,25.0,556.0,Yes
