RestaurantID,RestaurantName,Cuisine,City,Area,OpeningTime,ClosingTime,Rating,AverageCost,OwnerName,RestaurantType,Latitude,Longitude
1,Curry Cafe,Healthy Food,Vadodara,Civil Lines,09:00:00,23:00:00,3.4,328.0,Qarin Ray,Delivery Only,15.88417,88.525722
2,Curry Treats,Burgers,Surat,Market Area,07:00:00,00:00:00,,525.0,Manan Bala,Delivery Only,13.581113,87.706587
3,Blue Kitchen,Healthy Food,Nashik,Mg Road,07:00:00,01:00:00,4.3,171.0,Nicholas Manne,Cloud Kitchen,22.629797,75.921274
4,The Grill,Biryani,Nashik,Station Road,08:00:00,00:00:00,3.3,258.0,Harsh Bhargava,Dine-In & Delivery,16.648774,79.743892
5,Golden Diner,Chinese,Pune,Ring Road,11:00:00,22:00:00,3.3,529.0,Daksha Narayanan,Dine-In,30.278253,77.396672
6,Green Corner,South Indian,Nagpur,Lake View,07:00:00,22:00:00,3.6,500.0,Guneet Sawhney,Dine-In,31.218729,79.421276
7,Golden Grill,Mughlai,Bhubaneswar,Ring Road,07:00:00,01:00:00,3.5,381.0,Leela Mani,Dine-In,24.661424,70.811646
8,Green Diner,Desserts,Mumbai,Civil Lines,10:00:00,01:00:00,4.4,218.0,Harish Bobal,Delivery Only,33.790907,77.618196
9,Royal Cafe,Chinese,Bhopal,Market Area,09:00:00,22:00:00,3.6,533.0,Vedhika Buch,Cloud Kitchen,14.119996,87.107108
10,Green Grill,Desserts,Bhubaneswar,Station Road,10:00:00,01:00:00,3.7,487.0,Gagan Bansal,Delivery Only,9.306706,79.461981
11,Urban Point,Bakery,Jaipur,Ring Road,11:00:00,01:00:00,3.9,148.0,Ekansh Bhatti,Dine-In,33.363825,85.503015
12,Spicy Kitchen,Seafood,Mumbai,New Town,10:00:00,00:00:00,4.6,430.0,Praneel Varghese,Cloud Kitchen,16.576292,71.468146
13,Blue Hub,South Indian,Indore,New Town,07:00:00,01:00:00,4.7,517.0,Ethan Dubey,Dine-In & Delivery,30.373045,73.598448
14,Golden Treats,Mexican,Visakhapatnam,Hill Road,11:00:00,01:00:00,4.6,654.0,Diya Nagy,Dine-In & Delivery,20.518712,87.328421
15,Golden Grill,Mexican,Surat,Lake View,09:00:00,22:00:00,4.5,405.0,Ishanvi Divan,Dine-In,8.744902,79.687392
16,Green Corner,Fast Food,Bhopal,Mg Road,07:00:00,01:00:00,4.8,355.0,Ridhi Joshi,Delivery Only,9.399273,83.976994
17,Grand Point,Fast Food,Lucknow,Mg Road,11:00:00,23:00:00,4.1,622.0,Aarnav Vaidya,Dine-In,23.30416,74.745108
