CityID,City,Population,Region,AverageIncome
1,Mumbai,20398296,West,1435819.0
2,Delhi,32939024,North,1373024.0
3,Bengaluru,13187628,South,1609572.0
4,Hyderabad,10255717,South,1297174.0
5,Chennai,11339741,South,1167848.0
6,Kolkata,15152698,East,978825.0
7,Pune,7598082,West,1335976.0
8,Ahmedabad,8636140,West,1102164.0
9,Jaipur,4322247,North,891559.0
10,Lucknow,3736453,North,745869.0
11,Chandigarh,1195781,North,1471515.0
12,Surat,7799713,West,988746.0
13,Nagpur,3043446,West,779719.0
14,Indore,3294618,West,814115.0
15,Bhopal,2412425,West,
16,Coimbatore,2642463,South,957876.0
17,Kochi,2192696,South,1016149.0
18,Visakhapatnam,2348210,South,
19,Patna,2494110,East,650018.0
20,Bhubaneswar,1165059,East,798349.0
21,Guwahati,1059078,East,717449.0
22,Nashik,2062338,West,896763.0
23,Ludhiana,1741541,North,864782.0
24,Vadodara,2177335,West,961447.0
25,Raipur,1679847,East,738911.0
