FeedbackID,OrderID,CustomerRating,DeliveryRating,FoodRating,Review,Sentiment
1,118680,3.0,2,4,,Neutral
2,109542,5.0,5,5,Great food and fast delivery!,Positive
3,120380,,3,4,Average experience.,Neutral
4,114707,3.0,4,2,,Neutral
5,103220,4.0,3,4,Delivery partner was very polite.,Positive
6,100679,3.0,3,3,Average experience.,Neutral
7,115810,5.0,4,5,Best biryani in town!,Positive
8,110236,5.0,4,5,Great food and fast delivery!,Positive
9,111565,3.0,2,3,,Neutral
10,102005,1.0,2,1,Very disappointed with the service.,Negative
11,100090,5.0,5,4,Amazing experience overall.,Positive
12,119518,4.0,5,4,Great food and fast delivery!,Positive
13,113054,2.0,2,2,Wrong item delivered.,Negative
14,119646,3.0,2,2,"Food was okay, nothing special.",Neutral
15,100570,1.0,1,1,Quality was not up to the mark.,Negative
16,102323,5.0,4,5,"Loved the taste, will order again.",Positive
17,120032,2.0,3,3,Very disappointed with the service.,Negative
18,105593,4.0,5,3,Great food and fast delivery!,Positive
19,114801,3.0,3,2,Delivery was on time but food was mediocre.,Neutral
20,114258,3.0,4,4,Delivery was on time but food was mediocre.,Neutral
21,107848,2.0,1,2,Very disappointed with the service.,Negative
22,102622,5.0,5,5,Packaging was excellent and food was hot.,Positive
23,107556,5.0,5,5,Amazing experience overall.,Positive
24,116349,5.0,5,5,Best biryani in town!,Positive
25,105359,2.0,1,1,,Negative
26,107808,5.0,5,4,Amazing experience overall.,Positive
27,118069,2.0,3,3,Very disappointed with the service.,Negative
28,114031,,1,2,Very disappointed with the service.,Negative
29,115403,1.0,1,1,Order was incomplete.,Negative
30,100662,5.0,5,4,Best biryani in town!,Positive
31,111482,4.0,3,5,Packaging was excellent and food was hot.,Positive
32,113998,2.0,1,3,Food arrived cold and late.,Negative
33,106697,5.0,4,5,"Loved the taste, will order again.",Positive
34,108484,5.0,5,4,Amazing experience overall.,Positive
35,111513,4.0,4,3,Great food and fast delivery!,Positive
36,118533,4.0,5,4,Great food and fast delivery!,Positive
37,114164,3.0,3,2,"Food was okay, nothing special.",Neutral
38,120375,5.0,4,5,Packaging was excellent and food was hot.,Positive
39,116568,5.0,5,4,Packaging was excellent and food was hot.,Positive
40,117591,3.0,4,4,,Neutral
41,101072,5.0,5,4,Packaging was excellent and food was hot.,Positive
42,113083,5.0,5,4,Packaging was excellent and food was hot.,Positive
43,101323,5.0,5,5,Great food and fast delivery!,Positive
44,100651,2.0,1,2,Order was incomplete.,Negative
45,119240,3.0,2,2,"Food was okay, nothing special.",Neutral
46,120206,5.0,5,4,Packaging was excellent and food was hot.,Positive
47,108505,2.0,2,2,Order was incomplete.,Negative
48,105893,5.0,4,4,Amazing experience overall.,Positive
49,106534,4.0,3,4,"Loved the taste, will order again.",Positive
50,105154,4.0,3,5,"Loved the taste, will order again.",Positive
51,116254,4.0,4,3,Packaging was excellent and food was hot.,Positive
52,104901,1.0,1,1,Food arrived cold and late.,Negative
53,120004,5.0,5,5,Delivery partner was very polite.,Positive
54,109670,1.0,1,1,Delivery took way too long.,Negative
55,120011,3.0,2,3,"Food was okay, nothing special.",Neutral
56,118030,1.0,1,2,Food arrived cold and late.,Negative
57,102523,2.0,3,1,Quality was not up to the mark.,Negative
58,118860,3.0,4,3,Average experience.,Neutral
59,117088,5.0,4,5,Packaging was excellent and food was hot.,Positive
60,102810,4.0,3,5,Great food and fast delivery!,Positive
61,107505,3.0,2,4,Delivery was on time but food was mediocre.,Neutral
62,101607,1.0,1,1,Quality was not up to the mark.,Negative
63,108961,2.0,3,1,,Negative
64,106305,2.0,3,3,Wrong item delivered.,Negative
65,114319,4.0,4,4,"Loved the taste, will order again.",Positive
66,106419,5.0,5,5,Great food and fast delivery!,Positive
67,118479,5.0,5,5,Delivery partner was very polite.,Positive
68,115850,5.0,5,4,Delivery partner was very polite.,Positive
69,100319,5.0,5,4,Packaging was excellent and food was hot.,Positive
70,109593,5.0,5,5,Best biryani in town!,Positive
71,114234,2.0,1,2,Quality was not up to the mark.,Negative
72,108163,5.0,5,5,Packaging was excellent and food was hot.,Positive
73,116615,3.0,2,4,Delivery was on time but food was mediocre.,Neutral
74,104785,5.0,5,4,Amazing experience overall.,Positive
75,115106,2.0,3,2,Wrong item delivered.,Negative
76,109931,5.0,5,4,"Loved the taste, will order again.",Positive
77,113365,3.0,3,3,,Neutral
78,106906,5.0,5,5,"Loved the taste, will order again.",Positive
79,105146,2.0,3,2,Wrong item delivered.,Negative
80,118145,2.0,3,3,Order was incomplete.,Negative
81,118400,5.0,5,5,Packaging was excellent and food was hot.,Positive
82,100132,4.0,5,3,Delivery partner was very polite.,Positive
83,107288,4.0,5,5,Great food and fast delivery!,Positive
84,120261,3.0,4,3,,Neutral
85,103754,3.0,4,3,"Food was okay, nothing special.",Neutral
86,106960,2.0,2,2,Delivery took way too long.,Negative
87,113618,1.0,1,2,Quality was not up to the mark.,Negative
88,109396,1.0,2,1,Very disappointed with the service.,Negative
89,114041,5.0,5,5,Amazing experience overall.,Positive
90,103312,3.0,4,4,"Food was okay, nothing special.",Neutral
91,116189,5.0,5,5,Great food and fast delivery!,Positive
92,115540,3.0,4,2,Delivery was on time but food was mediocre.,Neutral
93,107906,5.0,4,5,,Positive
94,108148,5.0,5,5,Delivery partner was very polite.,Positive
95,100772,1.0,1,2,Food arrived cold and late.,Negative
96,103747,3.0,4,4,Delivery was on time but food was mediocre.,Neutral
97,118647,2.0,2,3,Quality was not up to the mark.,Negative
98,104329,5.0,5,4,Delivery partner was very polite.,Positive
99,108114,4.0,3,4,Best biryani in town!,Positive
100,109093,4.0,4,3,"Loved the taste, will order again.",Positive
101,113427,5.0,5,5,Great food and fast delivery!,Positive
102,102414,1.0,1,2,Food arrived cold and late.,Negative
103,110015,4.0,3,4,Best biryani in town!,Positive
104,107424,4.0,5,5,Great food and fast delivery!,Positive
105,114836,5.0,5,4,Delivery partner was very polite.,Positive
106,114522,5.0,4,4,Packaging was excellent and food was hot.,Positive
107,101401,3.0,3,3,"Food was okay, nothing special.",Neutral
108,110952,5.0,5,5,Packaging was excellent and food was hot.,Positive
109,112630,3.0,2,3,"Food was okay, nothing special.",Neutral
110,111353,2.0,1,3,Wrong item delivered.,Negative
111,110158,3.0,3,4,Average experience.,Neutral
112,107938,2.0,3,3,Wrong item delivered.,Negative
113,105481,5.0,5,4,Delivery partner was very polite.,Positive
114,103405,2.0,2,3,Order was incomplete.,Negative
115,114187,5.0,4,4,"Loved the taste, will order again.",Positive
116,103538,3.0,2,3,,Neutral
117,114901,1.0,1,2,,Negative
118,116354,4.0,4,3,Great food and fast delivery!,Positive
119,111024,3.0,3,2,"Food was okay, nothing special.",Neutral
120,116442,4.0,3,3,Packaging was excellent and food was hot.,Positive
121,100030,3.0,4,4,Delivery was on time but food was mediocre.,Neutral
122,101782,2.0,3,3,Delivery took way too long.,Negative
123,116865,5.0,5,5,"Loved the taste, will order again.",Positive
124,115454,2.0,3,3,Food arrived cold and late.,Negative
125,119483,3.0,4,4,Delivery was on time but food was mediocre.,Neutral
126,119625,5.0,5,5,Best biryani in town!,Positive
127,103119,5.0,5,4,Packaging was excellent and food was hot.,Positive
128,113947,4.0,5,5,Amazing experience overall.,Positive
129,113272,2.0,3,3,Quality was not up to the mark.,Negative
130,113774,1.0,1,1,Food arrived cold and late.,Negative
131,103785,5.0,4,4,Best biryani in town!,Positive
132,104393,5.0,4,5,Packaging was excellent and food was hot.,Positive
133,107070,4.0,4,4,Best biryani in town!,Positive
134,118341,3.0,2,4,Average experience.,Neutral
