FoodItemID,RestaurantID,FoodName,Category,Price,PreparationTime,Calories,Availability
1,1,Biryani,Main Course,220,16,519.0,Yes
2,1,Cheese Pizza,Fast Food,123,13,215.0,Yes
3,1,Veg Sandwich,Fast Food,40,28,440.0,Yes
4,1,Butter Naan,Breads,227,16,683.0,No
5,1,Garlic Naan,Breads,338,17,395.0,Yes
6,1,Biryani,Main Course,160,9,338.0,Yes
7,1,Momos,Starters,151,3,58.0,No
8,1,Kulcha,Breads,174,24,284.0,Yes
9,2,Fresh Lime Soda,Beverages,337,15,272.0,No
10,2,Kulcha,Breads,51,18,98.0,Yes
11,2,Chole Bhature,Main Course,112,18,190.0,Yes
12,2,Butter Chicken,Main Course,132,18,217.0,Yes
13,2,Masala Chai,Beverages,238,25,248.0,Yes
14,2,Paneer Tikka,Starters,161,17,452.0,Yes
15,2,Rasmalai,Desserts,153,12,241.0,Yes
16,2,Tandoori Roti,Breads,255,13,283.0,Yes
17,3,Spring Rolls,Starters,274,19,246.0,Yes
18,3,Kulcha,Breads,162,10,222.0,Yes
19,3,Brownie,Desserts,130,16,307.0,No
20,3,Fish Fingers,Starters,228,23,293.0,Yes
21,3,Spring Rolls,Starters,164,14,251.0,No
22,3,Mojito,Beverages,194,3,256.0,Yes
23,3,Butter Naan,Breads,75,10,237.0,Yes
24,4,Chole Bhature,Main Course,40,15,,Yes
25,4,Kheer,Desserts,179,19,,Yes
26,4,Lassi,Beverages,107,18,360.0,Yes
27,4,Veg Sandwich,Fast Food,170,14,279.0,Yes
28,4,Biryani,Main Course,157,14,444.0,Yes
29,4,Cold Coffee,Beverages,265,10,319.0,No
30,4,Ice Cream,Desserts,388,3,158.0,Yes
31,5,Chicken Burger,Fast Food,274,33,617.0,Yes
32,5,Brownie,Desserts,208,14,358.0,Yes
33,5,Brownie,Desserts,216,25,480.0,Yes
34,5,Kheer,Desserts,40,8,441.0,Yes
35,5,Rasmalai,Desserts,55,3,531.0,Yes
36,5,Mojito,Beverages,203,30,545.0,No
37,6,Veg Sandwich,Fast Food,123,19,281.0,Yes
