OrderItemID,OrderID,FoodItemID,Quantity,UnitPrice,TotalPrice
1,100001,3539,3,194,582.0
2,100001,3539,1,194,194.0
3,100002,6183,3,238,714.0
4,100002,6182,1,371,371.0
5,100003,771,1,114,114.0
6,100004,6918,4,91,364.0
7,100005,7047,1,358,358.0
8,100005,7045,3,178,534.0
9,100006,8,1,174,174.0
10,100006,6,1,160,160.0
11,100007,5424,2,40,80.0
12,100007,5423,1,222,222.0
13,100007,5423,1,222,222.0
14,100008,6024,2,101,202.0
15,100008,6024,1,101,101.0
16,100008,6024,2,101,202.0
17,100009,923,3,212,636.0
18,100010,2626,3,116,348.0
19,100011,3322,1,251,251.0
20,100011,3325,1,142,142.0
21,100012,8505,2,104,208.0
22,100013,2768,2,162,324.0
23,100013,2769,1,206,206.0
24,100013,2771,2,302,604.0
25,100014,1548,1,316,316.0
26,100015,4837,1,118,118.0
27,100015,4837,4,118,472.0
28,100015,4833,2,139,278.0
29,100016,6333,2,121,242.0
30,100016,6334,4,40,160.0
31,100017,1651,1,228,228.0
32,100017,1658,1,67,67.0
33,100018,2431,1,261,261.0
34,100018,2427,1,291,291.0
35,100018,2426,1,240,240.0
36,100018,2431,1,261,261.0
37,100019,7071,1,237,237.0
38,100019,7072,2,40,80.0
39,100020,2145,1,170,170.0
40,100021,5633,3,242,726.0
41,100021,5631,4,123,492.0
42,100022,4360,2,40,80.0
43,100023,4172,4,93,372.0
44,100023,4176,2,50,100.0
45,100023,4178,1,163,163.0
46,100023,4172,3,93,279.0
47,100024,8886,1,228,228.0
48,100024,8893,1,312,312.0
49,100025,5114,3,79,237.0
50,100026,1810,2,158,316.0
51,100027,2539,3,48,144.0
52,100027,2537,1,175,175.0
53,100027,2537,2,175,350.0
54,100028,6990,3,116,348.0
55,100029,8883,2,248,496.0
56,100029,8884,2,371,742.0
57,100030,7350,1,43,43.0
58,100030,7351,1,116,116.0
59,100031,3084,2,136,272.0
60,100031,3083,1,106,106.0
61,100032,6644,2,168,336.0
62,100033,1338,1,90,90.0
63,100033,1336,1,317,317.0
64,100034,681,2,252,504.0
65,100034,680,4,169,676.0
66,100034,674,2,242,484.0
67,100034,676,4,233,932.0
68,100035,4699,1,192,192.0
69,100035,4697,1,49,49.0
70,100036,2754,1,335,335.0
71,100037,5977,3,170,510.0
72,100038,7920,3,126,378.0
73,100039,8290,1,349,349.0
74,100040,8960,1,210,210.0
75,100040,8957,3,173,
76,100041,3253,1,139,139.0
77,100041,3255,4,221,884.0
78,100042,120,1,247,247.0
79,100043,7299,2,303,606.0
80,100044,6203,1,175,175.0
81,100044,6200,1,279,279.0
82,100044,6206,-2,382,764.0
83,100045,8762,1,153,153.0
84,100045,8762,2,153,306.0
85,100046,2353,1,128,128.0
86,100046,2358,4,40,160.0
87,100046,2357,2,286,572.0
88,100047,5700,2,143,286.0
89,100047,5700,-2,143,286.0
90,100048,2998,1,171,171.0
91,100048,2999,2,40,80.0
92,100048,2997,1,77,77.0
93,100049,2118,2,126,252.0
94,100049,2120,1,178,178.0
95,100049,2115,2,218,436.0
96,100050,7068,1,163,163.0
97,100051,7499,1,92,92.0
98,100051,7498,1,77,77.0
99,100051,7503,3,219,657.0
100,100052,2465,1,263,263.0
101,100052,2464,1,84,84.0
102,100052,2466,1,140,140.0
103,100053,539,3,332,996.0
104,100053,540,1,127,127.0
105,100053,538,3,277,831.0
106,100053,540,1,127,127.0
107,100054,3241,2,148,296.0
108,100054,3241,2,148,296.0
109,100055,5495,2,160,320.0
110,100055,5492,1,215,215.0
111,100056,2810,1,91,91.0
112,100057,2202,1,233,233.0
113,100058,2441,1,187,187.0
114,100058,2441,1,187,187.0
115,100058,2444,1,120,120.0
116,100059,4894,4,278,1112.0
117,100059,4893,1,229,229.0
118,100059,4896,1,299,299.0
119,100060,4934,2,242,484.0
120,100061,3025,1,263,263.0
121,100062,3469,1,40,40.0
122,100062,3464,3,294,882.0
123,100062,3463,1,253,253.0
124,100062,3463,1,253,253.0
125,100063,7270,1,152,152.0
126,100063,7271,1,200,200.0
127,100063,7268,1,186,186.0
128,100064,3404,4,218,872.0
129,100065,1686,1,40,40.0
130,100065,1684,3,213,639.0
131,100065,1683,1,198,198.0
132,100066,3841,4,260,1040.0
133,100067,630,1,208,208.0
134,100068,7907,1,132,132.0
135,100069,786,2,276,552.0
136,100070,5973,4,215,860.0
137,100070,5970,1,199,199.0
138,100070,5975,2,71,142.0
139,100070,5971,2,51,102.0
140,100071,4359,1,110,110.0
141,100071,4363,3,161,483.0
142,100072,2763,1,246,246.0
143,100073,1778,1,199,199.0
144,100074,5276,2,184,368.0
145,100074,5272,3,337,1011.0
146,100074,5270,3,205,615.0
147,100075,3261,2,169,338.0
148,100075,3261,1,169,169.0
149,100075,3264,1,201,201.0
150,100075,3262,3,190,570.0
151,100076,1999,3,230,690.0
152,100077,6106,3,205,615.0
153,100078,7139,3,141,423.0
154,100079,4382,1,68,68.0
155,100080,5688,1,357,357.0
156,100080,5687,2,270,540.0
157,100080,5687,2,270,540.0
158,100081,1495,2,51,102.0
159,100081,1497,2,253,506.0
160,100082,3571,3,148,444.0
161,100082,3571,1,148,148.0
162,100083,4635,2,279,558.0
163,100083,4636,1,164,164.0
164,100084,401,1,172,172.0
165,100085,3262,1,190,190.0
166,100085,3258,1,41,41.0
167,100086,6511,1,216,216.0
168,100087,2830,2,40,80.0
169,100087,2826,1,247,247.0
170,100087,2830,2,40,80.0
171,100087,2829,1,40,40.0
172,100088,335,1,336,336.0
173,100088,338,2,293,586.0
174,100088,333,2,332,664.0
175,100089,6770,2,158,316.0
176,100089,6767,2,144,288.0
177,100090,7277,2,288,576.0
178,100090,7277,3,288,864.0
179,100090,7272,4,169,676.0
180,100091,2170,1,295,295.0
181,100091,2167,2,305,610.0
182,100092,2050,3,203,609.0
183,100093,2782,2,105,210.0
184,100093,2786,1,122,122.0
185,100093,2786,1,122,122.0
186,100094,1892,1,186,186.0
187,100094,1890,1,244,244.0
188,100095,5171,4,159,636.0
189,100096,8717,1,208,208.0
190,100096,8716,1,252,252.0
191,100097,3140,1,278,278.0
192,100097,3134,1,155,155.0
193,100097,3141,3,230,690.0
194,100098,5476,3,180,540.0
195,100098,5478,2,136,272.0
196,100098,5476,2,180,360.0
197,100098,5479,1,111,111.0
198,100099,7003,1,305,
199,100099,7004,2,167,334.0
200,100099,7001,1,335,335.0
201,100100,8151,2,88,176.0
202,100100,8153,2,135,270.0
203,100100,8156,1,208,208.0
204,100101,5880,4,296,1184.0
205,100101,5879,1,110,110.0
206,100102,78,3,182,546.0
207,100103,5146,1,226,226.0
208,100103,5148,4,245,980.0
209,100104,140,3,131,393.0
210,100105,1346,1,180,180.0
211,100105,1343,1,262,262.0
212,100105,1344,1,79,79.0
213,100105,1347,3,100,300.0
214,100106,1128,3,165,495.0
215,100107,6356,1,239,239.0
216,100107,6355,1,288,288.0
217,100107,6354,1,261,261.0
218,100107,6355,1,288,288.0
219,100108,8225,2,273,546.0
220,100108,8225,1,273,273.0
221,100108,8220,1,215,215.0
222,100109,156,1,40,40.0
223,100109,159,1,187,187.0
224,100109,152,1,89,89.0
225,100109,157,2,219,438.0
226,100110,6523,1,229,229.0
227,100110,6524,3,146,438.0
228,100111,1944,4,179,716.0
229,100111,1943,1,276,276.0
230,100111,1941,1,155,155.0
231,100112,7886,3,119,357.0
232,100113,659,3,93,279.0
233,100113,655,1,198,198.0
234,100114,3575,1,79,79.0
235,100115,5650,1,113,113.0
236,100115,5649,1,133,133.0
237,100115,5650,2,113,226.0
238,100116,669,1,213,213.0
239,100116,672,2,66,132.0
240,100116,668,4,225,900.0
241,100117,8052,1,137,137.0
242,100118,3501,1,262,262.0
243,100118,3503,3,175,525.0
244,100119,3802,1,73,73.0
245,100119,3805,1,244,244.0
246,100120,6,1,160,160.0
247,100120,6,1,160,160.0
248,100121,7903,2,75,150.0
249,100121,7901,1,311,311.0
250,100122,8851,4,282,1128.0
251,100122,8849,2,353,706.0
252,100122,8852,1,231,231.0
253,100123,3656,-2,183,366.0
254,100123,3663,2,50,100.0
255,100123,3663,2,50,100.0
256,100124,5802,1,157,157.0
257,100124,5805,2,347,694.0
258,100124,5804,3,282,846.0
259,100125,1903,1,233,233.0
260,100126,3251,1,214,214.0
261,100126,3254,2,119,238.0
262,100126,3254,3,119,357.0
263,100127,5664,1,112,112.0
264,100127,5659,1,255,255.0
265,100128,7551,1,264,264.0
266,100128,7550,1,177,177.0
267,100129,7412,1,142,142.0
268,100129,7414,2,151,302.0
269,100130,4609,1,238,238.0
270,100130,4613,4,241,964.0
271,100131,3998,3,209,627.0
272,100131,3995,1,318,318.0
273,100131,3995,1,318,318.0
274,100132,6527,3,40,120.0
275,100133,5449,2,195,390.0
