PromotionID,CouponCode,DiscountPercentage,CampaignName,StartDate,EndDate
1,ZOMBCPD6,10,Late Night Cravings,12-11-2023,06-12-2023
2,ZOMMMJAQ,10,App Exclusive Deal,2024-02-13,2024-02-09
3,ZOMDE2A6,30,Summer Splash,06/28/2023,07/31/2023
4,ZOMTS3XV,20,Great Indian Food Fest,2024.03.26,2024.05.09
5,ZOM6SYNB,50,First Order Free Delivery,01/07/2023,15-01-2023
6,ZOMMU60P,50,Payday Delight,02/03/2022,2022-02-18
7,ZOM69PT4,10,First Order Free Delivery,13-08-2023,2023.09.16
8,ZOMSG9R1,10,Great Indian Food Fest,10/03/2022,11/04/2022
9,ZOMZ8XAW,30,Payday Delight,2022-07-01,2022.07.09
10,ZOMNUXAL,25,Great Indian Food Fest,17-11-2023,16/12/2023
11,ZOMC5EY1,50,First Order Free Delivery,04/28/2022,03-06-2022
12,ZOM72K4N,30,Payday Delight,2024.11.25,05/12/2024
13,ZOMQ1RAR,40,Mega Cashback Week,2024-07-12,03-08-2024
14,ZOMT5TET,30,Mega Cashback Week,01/26/2024,2024-02-12
15,ZOMKTGLP,30,Weekend Bonanza,2023-02-08,15-03-2023
16,ZOMKHWCU,15,Republic Day Offer,05/10/2022,2022-11-07
17,ZOMJ4VSP,15,Republic Day Offer,2022.09.16,2022.10.28
18,ZOM8MVZN,25,Payday Delight,11/05/2024,06/03/2024
19,ZOM3G9P3,50,Late Night Cravings,08-02-2024,2024.03.14
20,ZOMNCL6T,30,Payday Delight,23/04/2022,05/20/2022
21,ZOMDV8MX,20,Summer Splash,06/12/2023,2023.12.24
22,ZOMV7MBE,25,First Order Free Delivery,2024-10-13,24/10/2024
23,ZOM9E56H,50,Great Indian Food Fest,2024.08.07,09/11/2024
24,ZOMZ6A0H,10,Festive Feast,08/07/2023,20/08/2023
25,ZOMBAYGK,15,Mega Cashback Week,02/02/2023,24-02-2023
26,ZOMKDRUK,15,Republic Day Offer,19/05/2022,01/07/2022
27,ZOMDV1QN,25,New User Special,2023-02-03,19-02-2023
28,ZOM6C7AY,30,Great Indian Food Fest,27/03/2022,04/14/2022
29,ZOM7LKXM,30,Great Indian Food Fest,11/01/2024,23-01-2024
30,ZOMT7PGC,25,Great Indian Food Fest,2023-08-11,22-08-2023
31,ZOME7MWR,20,Festive Feast,2024-01-13,2024-01-29
32,ZOMT6DY1,50,First Order Free Delivery,26-02-2023,25/03/2023
33,ZOME5F2M,10,New User Special,25-03-2023,26/04/2023
34,ZOMCFRDY,20,Summer Splash,27/02/2023,03/17/2023
35,ZOMYDAMP,50,Monsoon Munchies,2022-05-05,11-05-2022
36,ZOMKE22W,50,First Order Free Delivery,2023.06.24,07/23/2023
37,ZOMNEQBK,20,Mega Cashback Week,2022-01-07,02/01/2022
38,ZOMC0WRD,30,Mega Cashback Week,2023-02-11,11-03-2023
39,ZOMGN2K6,30,New User Special,2024-03-04,08-03-2024
40,ZOM2ND9W,20,Weekend Bonanza,05/31/2022,06/26/2022
41,ZOMEPXTU,10,First Order Free Delivery,09/05/2022,29/09/2022
42,ZOM8A4X7,25,Late Night Cravings,05-01-2024,19/01/2024
43,ZOMAH73E,50,Weekend Bonanza,24-12-2022,30/01/2023
44,ZOM4CA2P,30,Great Indian Food Fest,2023.01.21,02/12/2023
45,ZOM9YL5G,15,Summer Splash,03-04-2022,03-05-2022
46,ZOMYU6CV,15,Late Night Cravings,2024-06-07,14-07-2024
47,ZOMDBULB,40,Great Indian Food Fest,2022-11-16,30/12/2022
48,ZOM36WMG,40,Late Night Cravings,2024-05-27,2024-07-11
49,ZOMHYX2Y,20,Payday Delight,11/10/2024,09/12/2024
50,ZOM4U47D,50,Great Indian Food Fest,2022.10.22,2022-11-27
51,ZOMRYX4S,20,Festive Feast,08/11/2024,2024.09.06
52,ZOM19Y9G,10,Payday Delight,04/18/2022,28/05/2022
53,ZOMY69XH,25,New User Special,03/11/2024,2024.11.12
54,ZOM153SL,30,First Order Free Delivery,05/02/2024,15/06/2024
55,ZOMFD0BT,50,New User Special,26-01-2024,31/01/2024
56,ZOM1GUJ8,15,Summer Splash,10/21/2024,10/19/2024
