RestaurantID,RestaurantName,Cuisine,City,Area,OpeningTime,ClosingTime,Rating,AverageCost,OwnerName,RestaurantType,Latitude,Longitude
1,Curry Cafe,Healthy Food,Vadodara,Civil Lines,09:00,23:00,3.4,328,Qarin Ray,Delivery Only,15.88417,88.525722
2,Curry Treats,Burgers,Surat,Market Area,07:00,00:00,,525,Manan Bala,Delivery Only,13.581113,87.706587
3,Blue Kitchen,Healthy Food,Nashik,MG Road,07:00,01:00,4.3,171,Nicholas Manne,Cloud Kitchen,22.629797,75.921274
4,The Grill,Biryani,Nashik,Station Road,08:00,00:00,3.3,258,Harsh Bhargava,Dine-in & Delivery,16.648774,79.743892
5,Golden Diner,Chinese,Pune,Ring Road,11:00,22:00,3.3,529,Daksha Narayanan,Dine-in,30.278253,77.396672
6,Green Corner,South Indian,Nagpur,Lake View,07:00,22:00,3.6,500,Guneet Sawhney,Dine-in,31.218729,79.421276
7,Golden Grill,Mughlai,Bhubaneswar,Ring Road,07:00,01:00,3.5,381,Leela Mani,Dine-in,24.661424,70.811646
8,Green Diner,Desserts,Mumbai,Civil Lines,10:00,01:00,4.4,218,Harish Bobal,Delivery Only,33.790907,77.618196
9,Royal Cafe,Chinese,Bhopal,Market Area,09:00,22:00,3.6,533,Vedhika Buch,Cloud Kitchen,14.119996,87.107108
10,Green Grill,Desserts,BHUBANESWAR,Station Road,10:00,01:00,3.7,487,Gagan Bansal,Delivery Only,9.306706,79.461981
11,Urban Point,Bakery,Jaipur,Ring Road,11:00,01:00,3.9,148,Ekansh Bhatti,Dine-in,33.363825,85.503015
12,Spicy Kitchen,Seafood,MUMBAI,New Town,10:00,00:00,4.6,430,Praneel Varghese,Cloud Kitchen,16.576292,71.468146
13,Blue Hub,South Indian,indore,New Town,07:00,01:00,4.7,517,Ethan Dubey,Dine-in & Delivery,30.373045,73.598448
14,Golden Treats,Mexican,Visakhapatnam,Hill Road,11:00,01:00,4.6,654,Diya Nagy,Dine-in & Delivery,20.518712,87.328421
15,Golden Grill,Mexican,Surat,Lake View,09:00,22:00,4.5,405,Ishanvi Divan,Dine-in,8.744902,79.687392
16,Green Corner,Fast Food,Bhopal,MG Road,07:00,01:00,4.8,-355,Ridhi Joshi,Delivery Only,9.399273,83.976994
17,Grand Point,Fast Food,Lucknow,MG Road,11:00,23:00,4.1,622,Aarnav Vaidya,Dine-in,23.30416,74.745108
18,Tasty Cafe,Street Food,Kochi,Hill Road,07:00,00:00,5.0,668,Noah Mani,QSR,24.464176,81.344883
19,Green Cafe,Mughlai,AHMEDABAD,Civil Lines,10:00,22:00,3.6,503,Gaurangi Jain,QSR,31.867835,87.69958
20,Golden Point,Desserts,Guwahati,Park Street,07:00,00:00,3.2,743,Yachana Rama,Delivery Only,31.414208,73.812026
21,Tasty Treats,Mexican,bhopal,Station Road,10:00,01:00,2.3,415,Tanveer Mohan,Dine-in & Delivery,28.615252,86.421251
22,Blue Bites,Thai,Jaipur,Civil Lines,10:00,23:00,5.0,-601,Hemangini Deep,Delivery Only,18.150145,81.567928
23,Royal House,Desserts,Delhi,Ring Road,07:00,01:00,4.1,211,Orinder Swaminathan,Dine-in,31.754867,85.94602
24,Urban House,Seafood,Bhopal,Ring Road,08:00,00:00,4.6,267,Yoshita Bhargava,Dine-in & Delivery,25.182069,83.752125
25,Green Bites,Street Food,Surat,Old Town,09:00,00:00,3.4,715,Laban Choudhary,Cloud Kitchen,32.151253,85.071681
26,Curry Bites,Mughlai,Bhopal,New Town,09:00,00:00,3.4,157,Vyanjana Rao,QSR,26.873905,75.108914
27,Urban Diner,Burgers,Surat,Civil Lines,07:00,23:00,3.4,487,Neelima Tailor,Cloud Kitchen,30.521531,88.369845
28,Golden Grill,Mexican,Nashik,Market Area,08:00,00:00,3.6,813,Naksh Ray,Cloud Kitchen,31.333301,71.575395
29,Curry Grill,Fast Food,Bhopal,MG Road,08:00,23:00,3.9,201,Qadim Chaudhari,Dine-in & Delivery,21.511389,85.305628
