TrafficID,City,Date,Time,TrafficLevel,AverageSpeed
1,Mumbai,2023.01.07,20:45,High,8.7
2,Mumbai,01/09/2023,18:45,Moderate,26.2
3,Mumbai,18-11-2023,12:45,Moderate,26.0
4,Mumbai,21-05-2024,20:45,Low,34.0
5,Mumbai,2024-12-29,06:30,Moderate,95.7
6,Mumbai,2024-07-31,07:45,Low,28.0
7,Mumbai,11/07/2024,19:15,Severe,11.2
8,Mumbai,21/03/2024,08:45,Severe,3.0
9,Mumbai,2023.05.20,08:45,High,15.3
10,Mumbai,01/01/2024,11:15,Low,47.7
11,Mumbai,2023.03.08,09:00,High,20.9
12,Mumbai,31/12/2023,22:00,High,14.7
13,Mumbai,2024-11-28,20:45,High,10.0
14,Mumbai,2024.02.29,19:45,High,7.5
15,Mumbai,12-05-2023,18:00,High,23.5
16,Mumbai,04/03/2023,19:15,Moderate,20.7
17,Mumbai,28/07/2023,17:30,High,18.6
18,Mumbai,10-07-2023,06:15,Moderate,24.7
19,Mumbai,05/03/2024,11:30,High,14.9
20,Mumbai,2024-09-23,12:00,High,18.1
21,Mumbai,2024-11-23,09:45,Moderate,19.9
22,Mumbai,2023-02-01,17:15,High,19.1
23,Mumbai,06/03/2024,02:00,Low,32.0
24,Mumbai,04/07/2023,12:00,Low,36.7
25,Mumbai,2024-08-29,18:45,High,19.7
26,Mumbai,12/22/2023,15:30,Moderate,26.6
27,Mumbai,24/12/2024,08:45,High,17.6
28,Mumbai,2023-05-20,09:30,Moderate,27.2
29,Mumbai,09/02/2023,17:45,Low,29.7
30,Mumbai,2023-08-12,08:15,High,20.8
31,Mumbai,10-02-2023,18:30,High,20.6
32,Mumbai,10-09-2024,21:30,Low,38.8
33,Mumbai,06/10/2024,09:00,High,11.1
34,Mumbai,22-09-2024,08:15,High,15.0
35,Mumbai,05/01/2024,19:00,High,12.9
36,Mumbai,05/19/2024,14:45,Low,33.3
37,Mumbai,09/21/2023,13:45,Moderate,21.1
38,Mumbai,12/05/2024,03:45,Low,39.4
39,Mumbai,2024-02-19,18:00,Moderate,30.2
40,Mumbai,2024.03.20,16:45,Severe,10.6
41,Mumbai,2024.03.15,19:45,High,13.1
42,Mumbai,11-03-2024,05:45,Low,37.1
43,Mumbai,2023.05.03,12:00,Moderate,31.1
44,Mumbai,26/07/2024,22:45,Moderate,37.1
45,Mumbai,2024-10-21,17:45,Moderate,23.3
46,Mumbai,2024.03.22,19:30,High,21.1
47,Mumbai,2023-05-06,17:45,Severe,11.9
48,Mumbai,2023.02.02,08:00,Severe,7.7
49,Mumbai,14/05/2024,08:00,High,14.3
50,Mumbai,2023-03-06,08:15,Severe,4.6
51,Mumbai,02/12/2023,17:15,Moderate,31.6
52,Mumbai,15/09/2023,18:00,Severe,3.0
53,Mumbai,14-09-2023,21:45,Moderate,31.2
54,Mumbai,02-12-2024,15:15,Severe,8.4
55,Mumbai,03/03/2023,06:00,Moderate,26.5
56,Mumbai,03/03/2024,10:15,High,20.2
57,Mumbai,03-03-2023,06:15,Moderate,19.8
58,Mumbai,02/01/2023,01:15,Low,29.8
59,Mumbai,08/12/2023,20:30,Severe,3.0
60,Mumbai,19/02/2024,20:15,High,14.5
61,Mumbai,20/10/2023,18:45,High,14.4
62,Mumbai,10/04/2023,09:45,Severe,109.5
63,Mumbai,15-11-2024,16:15,Low,36.4
64,Mumbai,17/11/2024,09:00,Severe,3.0
65,Mumbai,17-03-2024,11:15,Moderate,27.3
66,Mumbai,29/11/2023,18:00,High,17.4
67,Mumbai,01-05-2024,11:15,Moderate,32.1
68,Mumbai,28-05-2023,11:45,Moderate,32.5
69,Mumbai,2023.04.30,04:00,Low,40.0
70,Mumbai,2024.01.02,22:15,Moderate,19.9
71,Mumbai,2024-12-06,09:30,Severe,11.1
72,Mumbai,2023-02-17,14:45,Moderate,26.5
73,Mumbai,2024-02-06,15:45,Low,31.4
74,Mumbai,2024.10.26,18:15,High,3.9
75,Mumbai,2023.07.06,18:30,Severe,10.4
