WeatherID,City,Date,Temperature,Rainfall,Humidity,WeatherCondition
1,Mumbai,12/28/2024,22.0,0.0,31,Clear
2,Mumbai,2024.08.30,23.8,28.1,38,Cloudy
3,Mumbai,19-08-2024,31.3,98.0,79,Clear
4,Mumbai,2023-08-24,31.3,0.0,46,Rainy
5,Mumbai,2023-10-21,28.5,3.9,67,Cloudy
6,Mumbai,2024.10.26,28.2,0.0,43,Clear
7,Mumbai,03/17/2024,35.4,0.0,77,Clear
8,Mumbai,2023.06.17,29.2,67.7,53,Foggy
9,Mumbai,2023-04-28,29.4,0.0,63,Humid
10,Mumbai,22/06/2023,28.7,0.0,52,Cloudy
11,Mumbai,10/01/2024,16.4,0.5,78,Foggy
12,Mumbai,2024-07-20,31.5,193.3,70,Cloudy
13,Mumbai,25/02/2024,17.1,1.0,69,Clear
14,Mumbai,2024-01-09,21.2,12.1,74,Clear
15,Mumbai,2024.03.07,33.9,14.4,55,Rainy
16,Mumbai,26/07/2023,28.6,30.1,47,Clear
17,Mumbai,2024-02-04,19.9,4.1,61,Cloudy
18,Mumbai,11/01/2023,16.0,2.5,70,Stormy
19,Mumbai,12-12-2024,15.3,0.0,54,Humid
20,Mumbai,30-11-2024,24.0,0.0,35,Foggy
21,Mumbai,2023.09.15,27.6,99.2,70,Rainy
22,Mumbai,30/09/2024,25.7,0.0,80,Cloudy
23,Mumbai,13-01-2024,22.4,0.0,83,Rainy
24,Mumbai,2024-11-27,25.5,87.6,63,Clear
25,Mumbai,16/01/2024,24.9,11.7,81,Clear
26,Mumbai,01/09/2024,28.3,188.0,78,Clear
27,Mumbai,24/10/2023,33.6,0.0,45,Cloudy
28,Mumbai,2023.09.15,28.1,57.8,51,Foggy
29,Mumbai,05/05/2024,37.1,4.9,47,Clear
30,Mumbai,2024.11.25,23.8,8.9,49,Humid
31,Mumbai,2024.03.11,30.8,5.0,89,Cloudy
32,Mumbai,2023-05-13,36.4,8.5,49,Humid
33,Mumbai,2024.10.31,30.0,28.8,69,Clear
34,Mumbai,2024.05.26,35.1,0.0,72,Rainy
35,Mumbai,11/04/2023,24.4,0.0,61,Clear
36,Mumbai,2023-10-12,29.1,0.0,43,Clear
37,Mumbai,2024-10-02,25.7,1.4,75,Humid
38,Mumbai,2023.06.18,23.9,0.0,69,Clear
39,Mumbai,21-06-2024,30.3,,70,Foggy
40,Mumbai,01/04/2023,22.4,0.0,57,Clear
41,Mumbai,2024-01-08,24.7,15.0,53,Rainy
42,Mumbai,2024-04-29,29.8,0.8,43,Clear
43,Mumbai,10/24/2024,23.1,17.8,73,Clear
44,Mumbai,2023.04.20,34.3,10.2,79,Clear
45,Mumbai,2023-11-16,27.8,13.7,59,Cloudy
46,Mumbai,07/26/2023,25.3,154.7,79,Clear
47,Mumbai,05-09-2024,25.7,0.0,62,Cloudy
48,Mumbai,06-02-2024,20.9,3.3,56,Clear
49,Mumbai,27-04-2024,31.5,16.3,75,Foggy
50,Mumbai,10/27/2024,26.0,0.0,49,Stormy
51,Mumbai,2023.07.16,53.0,134.2,43,Clear
52,Mumbai,13/06/2023,26.4,193.2,44,Cloudy
53,Mumbai,26-11-2023,19.2,94.3,72,Foggy
54,Mumbai,2024-02-07,13.3,3.6,52,Cloudy
55,Mumbai,30/10/2023,24.2,39.9,70,Humid
56,Mumbai,03/16/2024,32.7,31.7,66,Rainy
57,Mumbai,25-02-2023,19.5,12.5,39,Rainy
58,Mumbai,2023.08.02,34.0,0.0,39,Clear
59,Mumbai,07/06/2023,27.4,187.5,56,Clear
60,Mumbai,05/11/2023,31.5,32.2,64,Foggy
61,Mumbai,2024.05.06,34.6,1.5,61,Rainy
62,Mumbai,11/10/2023,18.8,31.2,45,Clear
63,Mumbai,01/08/2024,31.0,141.2,52,Humid
64,Mumbai,2024.12.11,17.9,0.0,47,Clear
65,Mumbai,2023.03.20,26.4,0.8,75,Clear
66,Mumbai,05-08-2024,30.1,45.6,56,Humid
67,Mumbai,2023-10-18,27.7,63.9,42,Clear
68,Mumbai,29-10-2023,25.9,0.0,65,Cloudy
69,Mumbai,2023.02.17,19.5,3.0,69,Clear
70,Mumbai,01/31/2023,17.5,5.3,42,Cloudy
